PopulationName,StratumName,PlotId,TreeNumber,DBH,Height,HeightStatus,IsDead,OutsidePlot,MirageCount,LastMeasured,Species,StemType,SDiamHt,SDiamEstimate,Windblown,TreeComment,BEA,TDIST,TreeCode1,TreeCode2,CrHT,AuditTreeComment
Jelldale_Limited,1,1,1,554,,MISSING,Live,False,1,"2023-03-13 14:00:34",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,2,586,29.7,NORMAL,Live,False,1,"2023-03-13 14:02:06",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,3,515,28.1,NORMAL,Live,False,1,"2023-03-13 14:03:05",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,4,341,24.7,NORMAL,Live,False,1,"2023-03-13 14:03:45",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,5,471,26.7,NORMAL,Live,False,1,"2023-03-13 14:04:21",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,6,578,24.4,NORMAL,Live,False,1,"2023-03-13 14:05:44",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,7,399,,MISSING,Live,False,1,"2023-03-13 14:06:52",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,8,493,25.6,NORMAL,Live,False,1,"2023-03-13 14:06:34",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,9,441,,MISSING,Live,False,1,"2023-03-13 14:07:58",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,10,494,,MISSING,Live,False,1,"2023-03-13 14:09:56",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,11,574,,MISSING,Live,False,1,"2023-03-13 14:11:10",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,12,475,,MISSING,Live,False,1,"2023-03-13 14:11:46",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,13,528,,MISSING,Live,False,1,"2023-03-13 14:12:11",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,14,436,,MISSING,Live,False,1,"2023-03-13 14:15:07",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,15,519,26.3,NORMAL,Live,False,1,"2023-03-13 14:16:18",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,16,413,,MISSING,Live,False,1,"2023-03-13 14:18:11",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,17,406,30.3,NORMAL,Live,False,1,"2023-03-13 14:18:56",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,18,442,,MISSING,Live,False,1,"2023-03-13 14:19:34",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,19,588,30.6,NORMAL,Live,False,1,"2023-03-13 14:20:29",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,20,529,,MISSING,Live,False,1,"2023-03-13 14:21:25",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,21,535,28.8,NORMAL,Live,False,1,"2023-03-13 14:22:07",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,1,1,22,495,,MISSING,Live,False,1,"2023-03-13 14:25:23",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,1,508,38,NORMAL,Live,False,1,"2023-03-13 15:41:57",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,2,655,,MISSING,Live,False,1,"2023-03-13 15:42:17",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,3,399,,MISSING,Live,False,1,"2023-03-13 15:42:44",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,4,564,,MISSING,Live,False,1,"2023-03-13 15:43:17",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,5,570,,MISSING,Live,False,1,"2023-03-13 15:43:47",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,6,449,33.7,NORMAL,Live,False,1,"2023-03-13 15:44:13",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,7,600,40.4,NORMAL,Live,False,1,"2023-03-13 15:45:03",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,8,516,,MISSING,Live,False,1,"2023-03-13 15:46:20",P.RAD,PLANTED,1.4,,,,,,,,,
Jelldale_Limited,2,2,9,481,,MISSING,Live,False,1,"2023-03-13 15:46:52",P.RAD,PLANTED,1.4,,,,,,,,,
